Rank,State,New housing units authorized per 1k existing homes (2024),New housing units authorized per 1k existing homes (2022),Total new housing units authorized (2024),Total new housing units authorized (2022),Percentage change in housing units authorized (2022–2024),Median home price
1,Idaho,21.2,23.5,"17,630","18,706",-5.8%,"$473,403"
2,North Carolina,18.8,19.2,"95,163","94,118",+1.1%,"$337,813"
3,South Carolina,18.6,18.8,"47,072","46,038",+2.2%,"$304,094"
4,Utah,18.6,25.9,"23,902","31,749",-24.7%,"$535,217"
5,Arizona,18.1,19.3,"59,616","61,531",-3.1%,"$431,473"
6,Texas,17.9,21.7,"225,756","263,007",-14.2%,"$306,581"
7,Florida,16.3,20.5,"173,326","209,961",-17.4%,"$386,556"
8,Delaware,15.0,13.8,"7,141","6,417",+11.3%,"$403,858"
9,Georgia,14.6,17.1,"68,367","77,542",-11.8%,"$335,726"
10,Nevada,14.6,15.1,"19,994","20,031",-0.2%,"$454,694"
11,South Dakota,14.2,23.1,"6,017","9,421",-36.1%,"$317,058"
12,Tennessee,13.8,16.7,"44,863","52,637",-14.8%,"$336,119"
13,Colorado,12.0,18.7,"32,185","48,341",-33.4%,"$556,482"
14,Nebraska,11.9,12.9,"10,479","11,115",-5.7%,"$275,410"
15,Washington,11.1,14.8,"37,778","49,030",-22.9%,"$611,301"
16,Montana,9.9,12.2,"5,367","6,460",-16.9%,"$463,741"
17,Arkansas,9.6,10.3,"13,684","14,364",-4.7%,"$219,240"
18,New Jersey,9.1,9.7,"34,932","36,906",-5.3%,"$564,794"
19,Virginia,9.1,10.8,"34,059","39,701",-14.2%,"$409,382"
20,Indiana,8.8,9.5,"26,633","28,245",-5.7%,"$253,015"
21,Alabama,8.7,8.3,"20,725","19,499",+6.3%,"$235,313"
22,Iowa,8.6,8.8,"12,544","12,704",-1.3%,"$230,197"
23,Wisconsin,8.4,7.6,"23,826","21,072",+13.1%,"$328,778"
24,Minnesota,8.1,12.2,"20,913","31,126",-32.8%,"$349,222"
25,Kentucky,7.9,7.5,"16,264","15,078",+7.9%,"$223,225"
26,Maine,7.9,9.4,"6,034","7,094",-14.9%,"$414,774"
27,New Mexico,7.8,9.0,"7,572","8,633",-12.3%,"$314,851"
28,Oregon,7.7,10.9,"14,621","20,321",-28.0%,"$507,501"
29,Vermont,7.7,7.1,"2,654","2,403",+10.4%,"$400,876"
30,Oklahoma,7.6,7.8,"13,669","13,876",-1.5%,"$216,849"
31,New Hampshire,7.6,7.4,"4,965","4,783",+3.8%,"$504,017"
32,Wyoming,7.6,10.8,"2,135","3,005",-29.0%,"$364,012"
33,Kansas,6.9,7.4,"9,063","9,560",-5.2%,"$240,057"
34,California,6.8,8.2,"101,545","120,780",-15.9%,"$787,508"
35,Hawaii,6.8,7.6,"3,879","4,303",-9.9%,"$840,570"
36,Louisiana,6.7,7.4,"14,310","15,544",-7.9%,"$210,758"
37,Missouri,6.5,7.4,"18,464","20,901",-11.7%,"$260,908"
38,Maryland,6.5,8.9,"16,823","22,860",-26.4%,"$433,735"
39,North Dakota,6.1,9.1,"2,319","3,440",-32.6%,"$280,832"
40,Ohio,5.9,5.8,"31,411","30,843",+1.8%,"$241,500"
41,Mississippi,5.8,5.6,"7,883","7,568",+4.2%,"$191,887"
42,New York,5.4,6.2,"46,549","53,360",-12.8%,"$501,982"
43,West Virginia,4.8,4.0,"4,192","3,406",+23.1%,"$170,904"
44,Michigan,4.7,4.7,"21,750","21,780",-0.1%,"$260,040"
45,Massachusetts,4.7,5.6,"14,338","16,830",-14.8%,"$658,560"
46,Pennsylvania,4.2,4.8,"24,810","28,149",-11.9%,"$281,820"
47,Connecticut,3.8,3.8,"5,926","5,926",0.0%,"$430,504"
48,Illinois,3.7,3.8,"20,326","20,549",-1.1%,"$282,909"
49,Rhode Island,3.6,2.8,"1,757","1,372",+28.1%,"$492,939"
50,Alaska,3.1,1.8,"1,032",578,+78.5%,"$372,939"